text,id,created_at,context_annotations
RT @garyvee: Gift goat nfts sit in @veefriends mini drops - https://t.co/NFIF2TZaep which is a super cool little  place in the VF world 🌍,1504838421537304578,2022-03-18T15:13:32.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
The Gift Goat's journey continues today at 1PM ET. Where will Gift #3 take our adventurous friend? 🐐 https://t.co/tZajnq0ieI,1504837365877067777,2022-03-18T15:09:21.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
Top 5 VeeFriends characters at this exact moment: GO,1504815682290130983,2022-03-18T13:43:11.000Z,
@garyvee @zerocoolcards will @tySchmitt5 learn his lesson before VeeFriends Series 2? 🤔😂 stay tuned,1504815374507909159,2022-03-18T13:41:58.000Z,
RT @garyvee: Supply and demand … @veefriends #zerocool #veefriendsBreak  @zerocoolcards https://t.co/DAyGIBxFAu,1504814955220004868,2022-03-18T13:40:18.000Z,
"@sebcordes @garyvee @jodi_nft @sstolzenbach That's legit! Congrats on the big buy, Sebastian!!",1504814436841766914,2022-03-18T13:38:14.000Z,
RT @tohneth: @garyvee pulled a big one 👀 @zerocoolcards #veefriendsBreak https://t.co/vaAKjAm0mQ,1504813989053800466,2022-03-18T13:36:27.000Z,
RT @taek2212: We don't know what it is yet. One guy bought 2 before reveal for 5.5eth 👀🐐🎁 @veefriends https://t.co/CcHGb9dxxW,1504810902964551683,2022-03-18T13:24:11.000Z,
https://t.co/EceuzOIUhE,1504807708712701956,2022-03-18T13:11:30.000Z,
Some fitting #VeeFriendsArt to kick off Gift Goat Gift #3 drop day! https://t.co/JX07x7KXSW,1504794706387030017,2022-03-18T12:19:50.000Z,
"RT @jspeedymorris22: @veefriends @garyvee Really enjoying the class. Thanks, May https://t.co/dDQ3e1shce",1504626068619202563,2022-03-18T01:09:44.000Z,
RT @howslifeaustin: GREEN IS GREEN! Haven't been this excited since opening my first Pokémon booster packs wayyy back in school lol! This i…,1504626028056096773,2022-03-18T01:09:34.000Z,"[{'domain': {'id': '130', 'name': 'Multimedia Franchise', 'description': ""Franchises which span multiple forms of media like 'Harry Potter'""}, 'entity': {'id': '10045599546', 'name': 'Pokémon', 'description': 'This entity includes all conversation about the franchise, as well as any individual installments in the series, if applicable. **NOTE: Annotations redirected to domain 130 ONLY on 8/7/18.'}}]"
"Anyone who doesn't have a crypto wallet should join our free-to-attend NFT 101! You will walk out of the session with a MetaMask set up and ready to buy your first NFT!

8PM ET - zoom link to join 👇
https://t.co/ETTDBYCB6v",1504589764636381191,2022-03-17T22:45:28.000Z,"[{'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}]"
"VeeCon Burn Sale Stats Update:
BG Tokens Burnt: 2,887
VeeCon Tickets Exchanged: 564
Time Remaining: 24 hours
Burn Requirement: 7 PEARL Frames
#SeeYouAtVeeCon",1504580891313676290,2022-03-17T22:10:12.000Z,
